unnamed,a-star,150,voldy,120,codor,50,zorro,30,bazinga,25
a-star,unnamed,150,rs,70,bazinga,90,br*,40,voldy,30
absolut,spectrum,90,unnamed,120,a-star,40,rs,120,bondreturns,75
alterbridge,mn*,120,c,180,ra,150,anon,90
bazinga,zorro,60,rs,120,br*,100,koders,200,anon,180
bondreturns,codor,300,christopher,120,unnamed,60,voldy,60,a-star,120
codor,christopher,50,nullpointer,30,nedstark,90,anon,120,teamblue,30
gbe,heuristic,120,alpha,30,unnamed,30
lego,alpha,180
nedstark,codor,90,teamblue,60,nullpointer,30,christopher,90,tesla,30
ra,mn*,100,c,150,spartans,150,br*,60
rk,koders,200,rotationrunner,150,rs,150,absolut,120,bondreturns,120
rs,a-star,50,koders,70,bazinga,85,absolut,45,anon,60
spectrum,absolut,60,a-star,60,bazinga,60,br*,60,dihingites,60
voldy,unnamed,160,a-star,180,zorro,120,dihingites,240,mn*,150
